title,content,cate,rdate
내일 누리호 비행계측 분석...3단 엔진 꺼진 이유 파악,"지난 21일 한국형 발사체 누리호 1차 발사에서 '3단부 엔진 연소시간 부족'을 일으킨 구체적 원인을 찾기 위한 데이터 분석이 이르면 내일(25일)부터 이뤄집니다.발사 직후 수집된 정보에 따르면 누리호 3단부 엔진의 연소 시간은 계획에 46초 모자란 475초에 그쳐 탑재체인 더미 위성이 궤도 진입에 실패한 것으로 추정되고 있습니다.관계 당국은 일주일 동안 비행 계측 데이터 분석을 통해 3단부에 실린 7t급 액체 엔진의 연소 시간이 예정보다 짧았던 원인을 파악해 10명 내외로 누리호 발사 조사위원회 구성을 확정할 예정입니다.이번 조사에서 원인이 명확히 드러나지 않거나 단일 부분만의 문제가 아닌 것으로 파악난다면, 내년 5월로 예정된 누리호 2차 발사 일정이 변경되거나 발사 목표가 수정될 가능성도 있습니다.누리호의 사업 목표는 1.5t 실용 위성을 지구 저궤도에 투입할 발사체를 만드는 것으로, 1차 발사에는 실제 위성 대신 1.5t 더미 위성이 실렸고, 2차 발사에는 0.2t 성능검증 소형위성과 1.3t 더미 위성이 탑재될 예정입니다.YTN 이승윤 (risungyoon@ytn.co.kr)",3,2021-10-24 06:43
발사장면 분석...나로호와 달랐던 누리호,"[앵커]아직도 지난 목요일 누리호 발사 장면의 흥분된 마음이 생생한데요.고흥 나로 우주센터에서는 지난 2013년 이후 8년 만에 발사체가 우주로 향했습니다.8년 전 나로호와 달랐던 누리호의 발사 장면의 특징을 정혜윤 기자가 정리했습니다.[기자]누리호 발사 순간.75톤급 엔진 4개가 동시에 화염을 뿜으며 300톤급 출력을 냅니다.2008년 나로호 1단은 170톤급.거의 2배 가까운 위력을 지녀 발사 순간의 화염 크기에서 그 차이를 확인할 수 있습니다.누리호 발사의 가장 생생한 화면은 지하에 숨겨 둔 고화질 카메라에서 포착됐습니다.가장 가까운 위치에서 엄청난 불꽃과 수증기, 그리고 누리호가 하늘로 솟구치는 모습이 보입니다.하늘로 치솟은 누리호의 모습은 두 곳에서 동시에 추적됩니다.우주센터 앞바다와 고흥 전망대에 배치된 망원 카메라는 오랜 시간 동안 누리호의 기체와 화염을 따라갑니다.33m의 나로호보다 큰 47m의 누리호 기체, 그리고 더 강력한 로켓은 보는 이의 감동과 탄성을 자아냅니다.[김성한 / 부산 양정동 : 너무 감격스러워서 사실은 눈물이 조금 맺혔었습니다.]첫 발사의 감동과 아쉬움을 뒤로하고 나로 우주센터는 다시 불을 밝힌 채, 1차 발사의 문제점 분석과 내년 5월의 2차 발사 준비에 돌입했습니다.]YTN 정혜윤입니다.YTN 정혜윤 (jdkim@ytn.co.kr)",3,2021-10-23 01:05
"용홍택 누리호 발사관리위원장 ""국내 우주 전담조직 필요""","누리호 발사관리위원장인 용홍택 과학기술정보통신부 1차관이 국내에도 미 항공우주국 NASA나 유럽우주국, ESA와 같은 우주 전담조직이 필요하다고 밝혔습니다.용 차관은 YTN사이언스에 출연해 지금까지는 우주 정책이 연구·개발에 치중했지만, 앞으로는 외교와 안보, 국토, 해양 등의 분야로 광범위하게 확대될 것이라며, 우주 정책의 전문성과 연속성 차원에서 전담조직이 필요하다고 말했습니다.또 최근 국회에서 우주청 설립을 골자로 하는 법률안이 발의됐다며, 앞으로 전담조직 설치에 대한 활발한 논의가 기대된다고 덧붙였습니다.YTN 최소라 (csr73@ytn.co.kr)",3,2021-10-22 22:12
"데이터 분석 뒤 사고조사위 구성...""한 걸음 남았다""","[앵커]순수 국산 발사체, 누리호의 첫 발사는 아쉽게도 미완의 도전으로 마무리됐습니다.항공우주연구원은 발사 데이터를 분석한 뒤 전문가로 구성된 사고조사위원회를 열어 누리호 보완에 나섭니다.정혜윤 기자가 보도합니다.[기자]엄청난 화염을 내뿜으며 누리호가 지상을 박차고 하늘로 솟아오릅니다.16분간의 비행 과정, 각 단과 페어링 분리, 2단, 3단 점화 등 4단계의 관문도 무사히 통과했습니다.하지만 마지막 관문, 위성 모사체를 제 궤도에 진입시키는 데 실패했습니다.3단 로켓은 521초 동안 연소하며 속도를 올린 뒤 지구 궤도에 위성 모사체를 초속 7.5km의 속도로 진입시킵니다.그런데 3단이 475초 만에 연소가 끝나면서 위성 모사체의 속도가 느려져 제 궤도에 진입시키지 못한 것입니다.항공우주연구원은 남태평양 추적소에서 비행 데이터를 받아 분석하는 과정을 거칠 예정입니다.[고정환 / 항우연 한국형발사체 개발본부장 : 계측된 데이터를 다 보지 못했습니다. 계측된 데이터를 다운로드해 연구원들이 분석을 다 해봐야 합니다.]이어 전문가로 구성된 사고조사위원회를 열어 원인 분석과 보완 작업에 착수한다는 계획입니다.위성 모사체 궤도 진입이라는 임무에 실패했지만, 누리호의 첫 도전은 기술적 난관을 대부분 돌파했다는 점에서 큰 평가를 받습니다.[임혜숙 / 과학기술정보통신부 장관 : 한 걸음 남았다""라는 말씀드리고 싶습니다.]문제 확인과 보완·개선 작업을 거친 누리호는 내년 5월, 초소형 큐브 위성을 싣고 두 번째 발사에 나섭니다.YTN 정혜윤입니다.YTN 정혜윤 (jdkim@ytn.co.kr)",3,2021-10-22 22:10
"홍남기 ""양도세 기준 올리면 시장에 잘못된 신호 줄까 걱정""",홍남기 부총리 겸 기획재정부 장관이 1가구 1주택 양도소득세의 비과세 기준선을 올리는 문제를 두고 상향 필요성과 시장 안정이라는 두 가지 측면을 모두 살펴야 한다고 밝혔습니다.홍 부총리는 오늘(20일) 국회 기획재정위원회 국정감사에서 조정할 필요성도 일부 있다면서도 부동산 시장에 잘못된 신호를 줘 안정을 저해하는 요인으로 작용할까 봐 걱정도 크다고 말했습니다.현재 국회 기재위에는 1가구 1주택 양도소득세 비과세 기준선을 시가 9억 원에서 12억 원으로 올리는 소득세법 개정안이 계류돼 있습니다.YTN 권남기 (kwonnk09@ytn.co.kr),2,2021-10-20 13:14
"홍남기 ""유류세 인하 방안 검토 중...다음 주 조치""","홍남기 부총리 겸 기획재정부 장관이 유류세 인하를 검토하고 있다고 밝혔습니다.홍 부총리는 오늘(20일) 기획재정위원회 국정감사에서 국제유가 상승 영향으로 국내 휘발윳값이 올라가는 동시에 물가 상승 압박이 커지고 있다며 선제 대응을 위해 유류세 인하 방안을 검토 중이라고 말했습니다.홍 부총리는 이어, 지난 2018년과 같이 리터당 세금을 인하하는 방안을 살펴보고 있다며, 이르면 다음 주에 조치가 있을 것이라고 덧붙였습니다.YTN 권남기 (kwonnk09@ytn.co.kr)",2,2021-10-20 13:13
"홍남기 ""유류세 인하 방안 검토 중...다음 주 조치""","홍남기 부총리 겸 기획재정부 장관이 유류세 인하를 검토하고 있다고 밝혔습니다.홍 부총리는 오늘(20일) 기획재정위원회 국정감사에서 국제유가 상승 영향으로 국내 휘발윳값이 올라가는 동시에 물가 상승 압박이 커지고 있다며 선제 대응을 위해 유류세 인하 방안을 검토 중이라고 말했습니다.홍 부총리는 국제유가가 지난 2018년 10월 이래 가장 높은 수준이고 당분간 값이 내려가지 않을 전망이라며, 이르면 다음 주에 조치가 있을 것이라고 덧붙였습니다.YTN 권남기 (kwonnk09@ytn.co.kr)",2,2021-10-20 10:54
분양가 상한제 개편안 곧 발표...가산비 기준 구체화,"국토교통부가 분양가 상한제 금액 산정 기준을 보다 세분화한 개편안을 다음 주쯤 발표할 예정입니다.이번 정부 개편안의 핵심 골자는 분양가 상한제 가운데 '가산 공사비 심사 기준' 구체화입니다.국토부는 지방자치단체마다 다른 가산비 산정 방식 기준을 통일시켜, 현장 혼란을 최소화한다는 계획입니다.가산비는 택지 개발 과정에 들어가는 설비 비용으로, 현재는 지자체별로 가산비 항목과 심사 방식이 달라, 사업 주체 간 분쟁으로 이어졌고, 이로 인해 분양이 지연되기도 했습니다.정부는 이번 개편안을 통해 현장 분쟁이 줄어들고, 최근 주춤했던 서울 아파트 일반 분양이 다시 활기를 띨 것으로 기대하고 있습니다.YTN 김우준 (kimwj0222@ytn.co.kr)",2,2021-10-20 10:54
"'서학개미' 계좌 331만 개...올해 결제 2,889억 달러",국내 개인 투자자의 해외주식 계좌 수가 331만 개를 넘었고 올해 해외주식 결제금액은 2천889억 달러를 돌파해 사상 최대를 기록했습니다.더불어민주당 진선미 의원이 금융감독원에서 제출받은 자료를 보면 올해 6월 말 기준 개인투자자의 해외주식 계좌 수는 331만981개로 작년보다 74% 증가했습니다.올해 해외주식 결제액은 9월 말 기준 2천889억9천600만 달러로 작년 전체 결제액보다 이미 45% 늘었습니다.YTN 박병한 (bhpark@ytn.co.kr),2,2021-10-20 10:54
도시정비사업 기대감에 부산 아파트값 32%↑,"부산 아파트값이 도시정비 사업 기대감을 바탕으로 최근 1년간 30% 넘게 상승한 것으로 나타났습니다.부동산정보제공업체 '경제만랩'이 KB국민은행 자료를 분석한 결과를 보면, 부산의 3.3㎡당 아파트 평균 매매가는 지난해 9월 1천199만 원에서 1년 만에 1천582만 원으로 31.9%가 올랐습니다.해운대구가 1천617만 원에서 2천361만 원으로 가장 높이 올랐으며, 뒤이어 강서구, 동래구, 연제구, 수영구 등 순이었습니다.'경제만랩' 측은 부산 주요 지역에서 재개발 사업에 속도를 높이면서, 부산 지역 아파트값을 끌어올리고 있다고 분석했습니다.YTN 김우준 (kimwj0222@ytn.co.kr)",2,2021-10-20 10:07
"""파리바게뜨 등 가맹본부, 납품대금 현금 결제 강요""","파리바게뜨나 던킨도너츠, 뚜레쥬르 등의 프랜차이즈 본사들이 가맹점주들에게 납품 대금을 현금으로만 내도록 강요했다는 지적이 나왔습니다.국민의힘 유의동 의원이 공정위에서 받은 자료를 보면 커피와 치킨, 제과제빵 3개 업종의 대형 가맹본부 15곳 가운데 가맹점주가 납품 대금을 카드로 결제할 수 있는 곳은 3곳에 불과했습니다.이는 현금 결제를 강요하지 못하도록 한 공정거래위원회의 표준계약서를 지키지 않은 것입니다.또, 아리따움이나 토니모리, 에뛰드하우스 등 화장품 상위 5개 브랜드 역시 현금으로만 납품 대금을 받았고, 별도의 표준가맹계약서조차 없는 것으로 나타났습니다.YTN 권남기 (kwonnk09@ytn.co.kr)",2,2021-10-20 10:03
"""양도세 중과 뒤 매물 잠김 심화...정반대 효과""","정부가 지난해 7월 양도세를 중과하는 내용의 7·10 부동산 대책을 발표한 뒤 '매물 잠김' 현상이 심해진 것으로 나타났습니다.국민의힘 유경준 의원이 국토교통부로부터 제출받은 자료를 보면 서울 다주택자의 주택 매도량은 지난해 6월 7,900여 건이었습니다.하지만 7·10 대책이 나온 뒤 7월 매도량은 7,100여 건으로 줄었고, 8월에는 3,300여 건에 그쳐 반 토막이 났습니다.2019년 7월부터 2020년 5월까지 서울 다주택자의 월평균 주택 매도량은 4,300여 건으로, 대책 발표 이전 같은 기간보다 오히려 감소했습니다.유 의원은 정부는 양도세 중과로 다주택자가 매물을 내놓을 것이라고 주장했지만, 정반대의 효과가 나온 셈이라고 지적했습니다.YTN 조태현 (choth@ytn.co.kr)",2,2021-10-20 08:26
이것은 침대가 아닙니다 과학입니다,,3,2021-10-25 11:55
